,Price,Address,Prop_type,Size,Bath,Bed
116, 1 450 €  /  Monthly  ," Lisboa -   Lisboa, Campo de Ourique  ",Condo/Apartment,  90 m2 ,  1 ,  1 
117, 1 750 €  /  Monthly  ," Lisboa -   Cascais, Carcavelos e Parede  ",Condo/Apartment,  98 m2 ,  2 ,  3 
118, 2 400 €  /  Monthly  ," Lisboa -   Cascais, Carcavelos e Parede  ",Condo/Apartment,  119 m2 ,  3 ,  3 
119, 1 700 €  /  Monthly  ," Lisboa -   Lisboa, São Domingos de Benfica  ",Condo/Apartment,  124 m2 ,  2 ,  3 
120, 2 900 €  /  Monthly  ," Lisboa -   Lisboa, Santo António  ",Condo/Apartment,  116 m2 ,  3 ,  2 
121, 1 200 €  /  Monthly  ," Lisboa -   Lisboa, Areeiro  ",Condo/Apartment,  63 m2 ,  1 ,  1 
122, 1 350 €  /  Monthly  ," Lisboa -   Odivelas, Odivelas  ",Condo/Apartment,  120 m2 ,  2 ,  3 
123, 1 250 €  /  Monthly  ," Lisboa -   Sintra, Queluz e Belas  ",Condo/Apartment,  150 m2 ,  3 ,  4 
124, 800 €  /  Monthly  ," Lisboa -   Loures, Camarate, Unhos e Apelação  ",Condo/Apartment,  60 m2 ,  1 ,  2 
125, 5 000 €  /  Monthly  ," Lisboa -   Lisboa, Avenidas Novas  ",Others - Commercial,  663 m2 ,  0 ,  -- 
126, 1 600 €  /  Monthly  ," Lisboa -   Amadora, Venteira  ",Condo/Apartment,  85 m2 ,  2 ,  3 
127, 150 €  /  Monthly  ," Lisboa -   Lisboa, Avenidas Novas  ",Garage,  12 m2 ,  0 ,  -- 
128, 2 000 €  /  Monthly  ," Lisboa -   Lisboa, Lumiar  ",Condo/Apartment,  134 m2 ,  2 ,  3 
129, 2 500 €  /  Monthly  ," Lisboa -   Lisboa, Alvalade  ",Condo/Apartment,  99 m2 ,  2 ,  3 
130, 1 000 €  /  Monthly  ," Lisboa -   Vila Franca de Xira, Alverca do Ribatejo e Sobralinho  ",Store,  51 m2 ,  0 ,  -- 
131, 800 €  /  Monthly  ," Lisboa -   Lisboa, Alcântara  ",Condo/Apartment,  58 m2 ,  0 ,  3 
132, 1 800 €  /  Monthly  ," Lisboa -   Lisboa, Campolide  ",Condo/Apartment,  95 m2 ,  2 ,  2 
133, 4 500 €  /  Monthly  ," Lisboa -   Lisboa, Misericórdia  ",Condo/Apartment,  176 m2 ,  2 ,  4 
