Price,Size,Bath,Bed,City_Cascais,City_Lisboa,City_Other,City_Porto,City_Sintra,predicted_rent
155000,32,1,1,0,0,0,1,0,579.2029938833853
160000,35,1,1,0,0,0,1,0,604.0774312192814
495000,390,3,6,0,0,1,0,0,3953.216302903713
82500,136,1,2,0,0,1,0,0,1272.562026336876
185000,115,1,2,0,0,1,0,0,1098.4409649856032
150000,124,1,3,0,0,1,0,0,1247.139417145272
485000,154,3,3,0,0,1,0,0,1774.201812023942
160000,168,2,3,0,0,1,0,0,1751.1235088316032
449000,185,4,3,0,0,0,1,0,2413.426610597612
230000,180,3,3,0,0,1,0,0,1989.780268935042
495000,280,5,5,0,0,1,0,0,3245.3964819552493
110000,419,2,0,0,0,1,0,0,3610.0593454789705
1095000,428,7,4,0,0,1,0,0,4676.778271893853
215000,112,2,3,0,0,1,0,0,1286.800678561542
269000,1946,5,3,0,0,1,0,0,16910.850402185606
100000,131,1,2,0,0,1,0,0,1231.1046307770491
262500,140,2,5,0,0,1,0,0,1667.1123740005337
549000,312,4,5,0,0,1,0,0,3371.5648027782872
270000,183,3,3,0,0,1,0,0,2014.654706270938
949000,350,4,3,0,0,1,0,0,3538.4907287290107
335000,185,4,4,0,0,1,0,0,2244.4718154067036
475000,450,6,5,0,0,1,0,0,4794.106941749218
237500,1924,6,3,0,0,1,0,0,16867.59687248222
190000,163,3,3,0,0,1,0,0,1848.8251240316306
230000,325,3,3,0,0,1,0,0,3192.044740170022
155000,118,1,2,0,0,1,0,0,1123.3154023214993
140000,68,1,2,0,0,1,0,0,708.7414467232304
140000,72,1,2,0,0,1,0,0,741.9073631710919
250000,2990,2,2,0,0,1,0,0,25075.602422645916
314500,240,6,3,0,0,1,0,0,2904.7460479325273
170000,110,2,3,0,0,1,0,0,1270.2177203376114
105000,204,2,4,0,0,1,0,0,2123.691897014337
87500,86,1,2,0,0,1,0,0,857.9880707386072
95000,70,1,3,0,0,1,0,0,799.3995450991418
205000,500,4,9,0,0,1,0,0,5226.6634364357005
120000,121,1,4,0,0,1,0,0,1296.3401199613568
445000,350,4,4,0,0,1,0,0,3612.565868880991
350000,327,6,14,0,0,0,1,0,4683.961207688191
165000,150,0,7,0,0,1,0,0,1619.85942390444
169500,76,2,2,0,0,1,0,0,914.2322903788078
295000,176,2,3,0,0,1,0,0,1817.4553417273262
280000,222,0,3,0,0,1,0,0,1920.5453593580246
290000,140,4,3,0,0,1,0,0,1797.280115216281
130000,40,0,2,0,0,1,0,0,337.4210208283456
305000,212,3,4,0,0,1,0,0,2329.1827406699144
350000,120,3,3,0,0,1,0,0,1492.2915222171193
750000,199,3,3,0,0,1,0,0,2147.318372062384
170000,108,0,1,0,0,1,0,0,827.1664602900105
75000,53,1,3,0,0,1,0,0,658.4444001957304
350000,229,3,4,0,0,1,0,0,2470.137885573326
1000000,144,3,4,0,0,0,1,0,2008.392096399158
205000,137,2,3,0,0,1,0,0,1494.0876563606764
435000,243,4,3,0,0,1,0,0,2651.302463748715
500000,230,4,4,0,0,1,0,0,2617.5883754451456
580000,443,7,6,0,0,0,1,0,5192.330674220184
180000,233,1,3,0,0,1,0,0,2150.9106403494984
330000,180,2,5,0,0,1,0,0,1998.7715384791488
510000,168,3,3,0,0,1,0,0,1890.2825195914575
1289000,260,4,4,0,0,1,0,0,2866.332748804107
280000,350,4,4,0,0,1,0,0,3612.565868880991
89900,80,1,2,0,0,1,0,0,808.2391960668149
107500,100,0,3,0,0,1,0,0,908.9849076982489
182500,100,0,3,0,0,1,0,0,908.9849076982489
92500,18,0,1,0,0,1,0,0,80.93334021312683
350000,233,4,4,0,0,1,0,0,2642.462812781042
98000,60,1,2,0,0,1,0,0,642.4096138275074
300000,642,3,4,0,0,1,0,0,5894.518758815027
235000,200,2,3,0,0,1,0,0,2016.4508404144951
