Price,Address,Prop_type,Size,Bath,Bed
 130 000 € ," Porto -   Gondomar, Gondomar (São Cosme), Valbom e Jovim  ",House,  43 m2 ,  1 ,  2 
 165 000 € ," Porto -   Paredes, Vilela  ",House,  112 m2 ,  1 ,  2 
 66 000 € ," Porto -   Paços de Ferreira, Eiriz  ",House,  93 m2 ,  0 ,  0 
 585 000 € ," Porto -   Valongo, Valongo  ",House,  300 m2 ,  7 ,  4 
 494 000 € ," Porto -   Matosinhos, Custóias, Leça do Balio e Guifões  ",House,  210 m2 ,  4 ,  4 
 695 000 € ," Porto -   Matosinhos, São Mamede de Infesta e Senhora da Hora  ",House,  278 m2 ,  4 ,  4 
 155 000 € ," Porto -   Vila Nova de Gaia, Sandim, Olival, Lever e Crestuma  ",House,  56 m2 ,  1 ,  3 
 36 500 € ," Porto -   Amarante, Figueiró (Santiago e Santa Cristina)  ",House,  102 m2 ,  0 ,  2 
 450 000 € ," Porto -   Matosinhos, Perafita, Lavra e Santa Cruz do Bispo  ",House,  154 m2 ,  4 ,  4 
 530 000 € ," Porto -   Vila Nova de Gaia, Serzedo e Perosinho  ",House,  260 m2 ,  3 ,  3 
 110 000 € ," Porto -   Matosinhos, São Mamede de Infesta e Senhora da Hora  ",House,  40 m2 ,  1 ,  2 
 170 000 € ," Porto -   Valongo, Ermesinde  ",House,  240 m2 ,  2 ,  3 
 289 900 € ," Porto -   Vila Nova de Gaia, Serzedo e Perosinho  ",House,  174 m2 ,  3 ,  4 
 175 000 € ," Porto -   Valongo, Ermesinde  ",House,  134 m2 ,  2 ,  3 
 45 000 € ," Porto -   Marco de Canaveses, Sande e São Lourenço  ",House,  104 m2 ,  0 ,  2 
 70 000 € ," Porto -   Vila Nova de Gaia, Serzedo e Perosinho  ",House,  90 m2 ,  2 ,  3 
 435 000 € ," Porto -   Paredes, Vilela  ",House,  384 m2 ,  3 ,  5 
 160 000 € ," Porto -   Amarante, Vila Meã  ",House,  200 m2 ,  1 ,  4 
 125 000 € ," Porto -   Amarante, Real, Ataíde e Oliveira  ",House,  99 m2 ,  1 ,  2 
 195 000 € ," Porto -   Penafiel, Paço de Sousa  ",House,  196 m2 ,  1 ,  2 
 300 000 € ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",House,  144 m2 ,  2 ,  5 
 199 000 € ," Porto -   Vila do Conde, Vila do Conde  ",House,  74 m2 ,  2 ,  3 
 189 000 € ," Porto -   Penafiel, Eja  ",House,  52 m2 ,  1 ,  2 
 430 000 € ," Porto -   Póvoa de Varzim, Póvoa de Varzim, Beiriz e Argivai  ",House,  168 m2 ,  3 ,  4 
 1 300 000 € ," Porto -   Amarante, Amarante (São Gonçalo), Madalena, Cepelos e Gatão  ",House,  450 m2 ,  0 ,  6 
 98 000 € ," Porto -   Vila Nova de Gaia, Oliveira do Douro  ",House,  110 m2 ,  1 ,  2 
 175 000 € ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",House,  74 m2 ,  2 ,  2 
 780 000 € ," Porto -   Vila Nova de Gaia, Madalena  ",House,  251 m2 ,  4 ,  4 
 990 000 € ," Porto -   Porto, Aldoar, Foz do Douro e Nevogilde  ",House,  254 m2 ,  3 ,  4 
 350 000 € ," Porto -   Penafiel, Guilhufe e Urrô  ",House,  130 m2 ,  0 ,  3 
 729 750 € ," Porto -   Gondomar, Fânzeres e São Pedro da Cova  ",House,  188 m2 ,  4 ,  3 
 330 000 € ," Porto -   Santo Tirso, Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães  ",House,  152 m2 ,  3 ,  5 
 274 900 € ," Porto -   Santo Tirso, São Tomé Negrelos  ",House,  219 m2 ,  3 ,  3 
 245 000 € ," Porto -   Trofa, Muro  ",House,  280 m2 ,  2 ,  5 
 430 000 € ," Porto -   Matosinhos, São Mamede de Infesta e Senhora da Hora  ",House,  277 m2 ,  3 ,  4 
 228 000 € ," Porto -   Vila do Conde, Aveleda  ",House,  134 m2 ,  0 ,  3 
 45 000 € ," Porto -   Penafiel, Valpedre  ",House,  132 m2 ,  1 ,  2 
 245 000 € ," Porto -   Trofa, Bougado (São Martinho e Santiago)  ",House,  104 m2 ,  1 ,  3 
 250 000 € ," Porto -   Maia, Águas Santas  ",House,  199 m2 ,  3 ,  2 
 380 000 € ," Porto -   Gondomar, Gondomar (São Cosme), Valbom e Jovim  ",House,  172 m2 ,  3 ,  3 
 265 000 € ," Porto -   Felgueiras, Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure  ",House,  214 m2 ,  3 ,  3 
 345 500 € ," Porto -   Vila Nova de Gaia, Canidelo  ",House,  158 m2 ,  3 ,  3 
 1 800 000 € ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",House,  580 m2 ,  4 ,  8 
 360 000 € ," Porto -   Gondomar, Rio Tinto  ",House,  103 m2 ,  0 ,  2 
 265 000 € ," Porto -   Porto, Bonfim  ",House,  80 m2 ,  2 ,  4 
 120 000 € ," Porto -   Maia, Águas Santas  ",House,  30 m2 ,  1 ,  1 
 126 500 € ," Porto -   Felgueiras, Vila Fria e Vizela (São Jorge)  ",House,  263 m2 ,  1 ,  2 
 125 000 € ," Porto -   Valongo, Ermesinde  ",House,  60 m2 ,  2 ,  2 
 348 500 € ," Porto -   Vila Nova de Gaia, São Felix da Marinha  ",House,  132 m2 ,  2 ,  3 
 474 500 € ," Porto -   Vila Nova de Gaia, Mafamude e Vilar do Paraíso  ",House,  141 m2 ,  4 ,  3 
 320 000 € ," Porto -   Gondomar, Fânzeres e São Pedro da Cova  ",House,  255 m2 ,  4 ,  4 
 113 000 € ," Porto -   Paredes, Baltar  ",House,  126 m2 ,  1 ,  2 
 85 000 € ," Porto -   Vila Nova de Gaia, Pedroso e Seixezelo  ",House,  170 m2 ,  2 ,  2 
 69 000 € ," Porto -   Penafiel, Penafiel  ",House,  56 m2 ,  1 ,  2 
 419 000 € ," Porto -   Gondomar, Gondomar (São Cosme), Valbom e Jovim  ",House,  448 m2 ,  5 ,  4 
 235 000 € ," Porto -   Amarante, Mancelos  ",House,  393 m2 ,  2 ,  3 
 295 000 € ," Porto -   Maia, Vila Nova da Telha  ",House,  154 m2 ,  3 ,  3 
 180 000 € ," Porto -   Valongo, Alfena  ",House,  120 m2 ,  0 ,  4 
 215 000 € ," Porto -   Santo Tirso, Roriz  ",House,  190 m2 ,  0 ,  2 
 300 000 € ," Porto -   Amarante, Amarante (São Gonçalo), Madalena, Cepelos e Gatão  ",House,  132 m2 ,  4 ,  3 
 198 000 € ," Porto -   Matosinhos, Custóias, Leça do Balio e Guifões  ",House,  147 m2 ,  4 ,  3 
 300 000 € ," Porto -   Matosinhos, São Mamede de Infesta e Senhora da Hora  ",House,  282 m2 ,  4 ,  8 
 370 000 € ," Porto -   Felgueiras, Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure  ",House,  238 m2 ,  3 ,  3 
 110 000 € ," Porto -   Lousada, Nespereira e Casais  ",House,  74 m2 ,  1 ,  2 
 119 000 € ," Porto -   Marco de Canaveses, Bem Viver  ",House,  235 m2 ,  4 ,  6 
 298 000 € ," Porto -   Gondomar, Rio Tinto  ",House,  135 m2 ,  3 ,  4 
 529 900 € ," Porto -   Vila Nova de Gaia, Arcozelo  ",House,  246 m2 ,  4 ,  4 
 340 000 € ," Porto -   Matosinhos, Perafita, Lavra e Santa Cruz do Bispo  ",House,  248 m2 ,  4 ,  3 
 69 000 € ," Porto -   Santo Tirso, Rebordões  ",House,  65 m2 ,  1 ,  2 
 300 000 € ," Porto -   Paredes, Parada de Todeia  ",House,  140 m2 ,  2 ,  3 
 314 900 € ," Porto -   Vila Nova de Gaia, Avintes  ",House,  151 m2 ,  3 ,  3 
 240 000 € ," Porto -   Marco de Canaveses, Sande e São Lourenço  ",House,  140 m2 ,  3 ,  3 
