Price,Address,Prop_type,Size,Bath,Bed
 450 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Store,  46 m2 ,  0 ,  -- 
 350 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Store,  16 m2 ,  0 ,  -- 
 4 500 €  /  Monthly  ," Porto -   Paredes, Rebordosa  ",Others - Commercial,  452 m2 ,  0 ,  -- 
 2 100 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Grijó e Sermonde  ",Warehouse,  872 m2 ,  0 ,  -- 
 380 €  /  Monthly  ," Porto -   Santo Tirso, Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães  ",Store,  87 m2 ,  1 ,  -- 
 1 500 €  /  Monthly  ," Porto -   Maia, Vila Nova da Telha  ",House,  186 m2 ,  3 ,  3 
 650 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Store,  52 m2 ,  0 ,  -- 
 850 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  45 m2 ,  1 ,  1 
 1 250 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  87 m2 ,  2 ,  3 
 370 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Store,  45 m2 ,  0 ,  0 
 250 €  /  Monthly  ," Porto -   Amarante, Amarante (São Gonçalo), Madalena, Cepelos e Gatão  ",Store,  40 m2 ,  0 ,  -- 
 400 €  /  Monthly  ," Porto -   Trofa, Bougado (São Martinho e Santiago)  ",Business Office,  40 m2 ,  1 ,  0 
 800 €  /  Monthly  ," Porto -   Matosinhos, São Mamede de Infesta e Senhora da Hora  ",Condo/Apartment,  68 m2 ,  1 ,  1 
