Size,Bath,Bed,City_Cascais,City_Lisboa,City_Other,City_Porto,City_Sintra,good_prop
102,2,3,0,0,1,0,0,1
212,2,3,0,0,1,0,0,1
192,4,4,0,0,1,0,0,0
254,2,3,0,0,1,0,0,1
145,3,4,0,0,1,0,0,1
283,1,2,0,0,1,0,0,1
263,1,3,0,0,1,0,0,1
195,3,3,0,0,1,0,0,1
120,3,4,0,0,1,0,0,0
120,3,4,0,0,1,0,0,0
176,3,4,0,0,1,0,0,0
190,4,5,0,0,1,0,0,0
237,5,5,0,0,1,0,0,1
278,3,4,0,0,1,0,0,1
55,1,2,0,0,1,0,0,1
66,1,2,0,0,1,0,0,1
46,1,3,0,0,1,0,0,0
266,3,3,0,0,1,0,0,1
90,3,3,0,0,0,1,0,0
227,4,3,0,0,1,0,0,0
250,3,3,0,0,1,0,0,1
280,6,5,0,0,1,0,0,1
85,3,2,0,0,1,0,0,0
152,4,4,0,0,1,0,0,1
140,3,3,0,0,1,0,0,1
139,2,3,0,0,1,0,0,0
214,4,6,0,0,1,0,0,1
255,4,3,0,0,1,0,0,1
70,1,2,0,0,1,0,0,1
156,3,3,0,0,1,0,0,1
175,4,4,0,0,1,0,0,1
239,1,4,0,0,1,0,0,0
237,5,4,0,0,1,0,0,0
194,3,4,0,0,1,0,0,0
233,3,4,0,0,1,0,0,1
170,4,3,0,0,1,0,0,1
200,3,2,0,0,1,0,0,1
218,4,3,0,0,0,1,0,0
206,4,4,0,0,1,0,0,0
210,4,4,0,0,1,0,0,0
212,4,4,0,0,1,0,0,0
94,2,3,0,0,1,0,0,1
132,1,3,0,0,1,0,0,1
230,3,3,0,0,1,0,0,1
282,3,3,0,0,1,0,0,1
179,4,3,0,0,1,0,0,0
164,1,3,0,0,1,0,0,1
112,2,2,0,0,1,0,0,1
236,2,3,0,0,1,0,0,1
156,1,1,0,0,1,0,0,1
243,3,3,0,0,1,0,0,1
286,3,3,0,0,1,0,0,1
286,3,3,0,0,1,0,0,1
211,3,3,0,0,1,0,0,1
224,4,4,0,0,0,1,0,1
107,1,2,0,0,1,0,0,1
88,2,3,0,0,1,0,0,1
154,2,4,0,0,1,0,0,1
126,2,3,0,0,1,0,0,1
277,3,3,0,0,1,0,0,1
261,3,3,0,0,1,0,0,1
252,3,3,0,0,1,0,0,1
283,3,3,0,0,1,0,0,1
286,3,3,0,0,1,0,0,1
62,2,3,0,0,1,0,0,0
101,2,3,0,0,1,0,0,1
114,2,3,0,0,1,0,0,1
160,2,3,0,0,1,0,0,1
275,4,7,0,0,1,0,0,1
55,1,1,0,0,1,0,0,0
98,2,2,0,0,1,0,0,0
162,2,2,0,0,0,1,0,0
273,3,5,0,0,1,0,0,1
192,3,3,0,0,1,0,0,1
259,6,3,0,0,1,0,0,1
210,4,4,0,0,1,0,0,0
241,4,3,0,0,1,0,0,1
168,2,4,0,0,1,0,0,1
184,2,3,0,0,1,0,0,1
92,1,2,0,0,1,0,0,1
90,2,3,0,0,1,0,0,0
192,2,4,0,0,1,0,0,1
120,1,3,0,0,0,1,0,1
285,3,5,0,0,0,1,0,1
200,2,3,0,0,1,0,0,0
95,1,2,0,0,0,1,0,0
98,1,2,0,0,0,1,0,0
135,1,2,0,0,0,1,0,0
61,1,2,0,0,1,0,0,0
125,2,3,0,0,1,0,0,0
218,2,3,0,0,1,0,0,1
55,1,2,0,0,1,0,0,1
89,1,3,0,0,1,0,0,0
124,2,3,0,0,1,0,0,1
155,3,3,0,0,1,0,0,1
160,3,3,0,0,1,0,0,1
280,2,3,0,0,1,0,0,1
29,1,1,0,0,1,0,0,0
80,2,3,0,0,1,0,0,1
240,2,4,0,0,0,1,0,1
140,2,3,0,0,1,0,0,1
61,1,3,0,0,0,1,0,1
250,2,3,0,0,1,0,0,1
240,2,4,0,0,1,0,0,1
166,3,3,0,0,1,0,0,0
143,1,4,0,0,1,0,0,1
180,3,3,0,0,1,0,0,1
184,4,4,0,0,1,0,0,1
204,3,3,0,0,1,0,0,0
65,1,1,0,0,1,0,0,1
207,2,4,0,0,1,0,0,1
100,1,2,0,0,1,0,0,1
90,1,4,0,0,1,0,0,1
60,2,3,0,0,1,0,0,1
184,1,2,0,0,1,0,0,0
190,2,2,0,0,1,0,0,1
210,2,3,0,0,1,0,0,1
212,2,3,0,0,1,0,0,1
250,2,4,0,0,1,0,0,1
263,2,3,0,0,1,0,0,1
248,2,4,0,0,1,0,0,1
229,2,3,0,0,1,0,0,0
213,3,4,0,0,1,0,0,1
200,4,4,0,0,1,0,0,1
65,2,3,0,0,1,0,0,0
30,1,2,0,0,1,0,0,1
180,3,3,0,0,1,0,0,0
223,3,3,0,0,1,0,0,1
133,1,3,0,0,1,0,0,1
243,4,5,0,0,1,0,0,1
260,2,2,0,0,1,0,0,1
249,4,3,0,0,1,0,0,0
131,2,3,0,0,1,0,0,0
55,1,1,0,0,1,0,0,1
240,4,3,0,0,1,0,0,1
102,2,2,0,0,1,0,0,0
267,2,4,0,0,1,0,0,1
212,5,5,0,0,0,1,0,0
200,4,4,0,0,1,0,0,1
268,5,5,0,0,1,0,0,0
170,2,4,0,0,0,1,0,1
254,7,5,0,0,1,0,0,0
225,3,3,0,0,1,0,0,1
251,2,7,0,0,1,0,0,1
129,3,3,0,0,1,0,0,0
251,4,3,0,0,1,0,0,1
105,2,3,0,0,0,1,0,0
224,4,4,0,0,1,0,0,0
103,1,2,0,0,1,0,0,1
47,1,2,0,0,1,0,0,1
238,1,3,0,0,1,0,0,1
168,2,3,0,0,1,0,0,1
139,3,3,0,0,1,0,0,0
139,3,3,0,0,1,0,0,0
158,2,3,0,0,1,0,0,1
277,5,4,0,0,1,0,0,1
190,2,4,0,0,1,0,0,1
202,1,6,0,0,1,0,0,1
286,3,3,0,0,1,0,0,1
250,3,3,0,0,1,0,0,1
259,3,3,0,0,1,0,0,1
49,1,1,0,0,1,0,0,1
275,2,4,0,0,1,0,0,1
112,2,3,0,0,1,0,0,1
200,3,3,0,0,1,0,0,1
264,5,4,0,0,1,0,0,0
241,4,5,0,0,1,0,0,1
75,1,4,0,0,1,0,0,1
183,2,3,0,0,1,0,0,0
103,1,2,0,0,1,0,0,0
109,1,2,0,0,1,0,0,1
213,1,3,0,0,1,0,0,1
115,2,3,0,0,0,1,0,0
166,3,3,0,0,1,0,0,0
96,1,3,0,0,1,0,0,1
127,3,3,0,0,0,1,0,0
244,4,4,0,0,1,0,0,0
117,4,3,0,0,1,0,0,0
111,1,2,0,0,1,0,0,0
280,1,3,0,0,1,0,0,1
153,2,2,0,0,1,0,0,1
116,4,3,0,0,1,0,0,1
252,5,4,0,0,1,0,0,1
252,3,4,0,0,1,0,0,1
104,2,3,0,0,1,0,0,1
86,1,2,0,0,1,0,0,1
91,3,3,0,0,1,0,0,0
264,1,8,0,0,0,1,0,0
84,2,3,0,0,1,0,0,0
249,4,6,0,0,1,0,0,0
102,1,2,0,0,1,0,0,1
202,4,6,0,0,0,1,0,0
110,2,3,0,0,1,0,0,1
42,1,2,0,0,1,0,0,1
225,1,3,0,0,1,0,0,1
139,4,3,0,0,1,0,0,1
195,3,3,0,0,1,0,0,1
282,2,5,0,0,0,1,0,0
197,4,4,0,0,0,1,0,1
260,3,4,0,0,1,0,0,1
108,2,2,0,0,1,0,0,0
107,2,4,0,0,1,0,0,1
231,4,3,0,0,1,0,0,0
189,4,4,0,0,1,0,0,0
174,4,4,0,0,1,0,0,0
162,2,2,0,0,1,0,0,0
180,5,5,0,0,1,0,0,1
150,2,4,0,0,0,1,0,0
180,2,3,0,0,1,0,0,1
262,3,4,0,0,1,0,0,1
172,4,3,0,0,1,0,0,1
270,4,4,0,0,1,0,0,1
249,2,3,0,0,1,0,0,1
139,2,6,0,0,1,0,0,1
203,5,4,0,0,0,1,0,0
200,4,4,0,0,1,0,0,0
90,2,3,0,0,1,0,0,1
228,4,4,0,0,1,0,0,0
252,3,3,0,0,1,0,0,1
99,1,1,0,0,1,0,0,1
113,3,4,0,0,1,0,0,1
200,4,6,0,0,0,1,0,0
210,7,5,0,0,0,1,0,0
37,2,4,0,0,0,1,0,1
228,5,4,0,0,1,0,0,0
220,2,3,0,0,0,1,0,1
187,3,2,0,0,0,1,0,0
284,3,10,0,0,0,1,0,1
282,2,3,0,0,1,0,0,1
265,5,4,0,0,1,0,0,0
136,1,3,0,0,1,0,0,1
79,2,1,0,0,0,1,0,0
170,3,3,0,0,1,0,0,0
170,3,3,0,0,1,0,0,0
170,3,3,0,0,1,0,0,0
170,3,3,0,0,1,0,0,0
39,1,1,0,0,1,0,0,1
183,2,3,0,0,1,0,0,1
89,2,2,0,0,1,0,0,1
107,1,2,0,0,1,0,0,1
240,3,6,0,0,1,0,0,1
177,2,4,0,0,1,0,0,1
214,4,3,0,0,1,0,0,0
285,3,3,0,0,1,0,0,1
224,3,4,0,0,1,0,0,1
270,4,3,0,0,1,0,0,1
279,4,3,0,0,1,0,0,1
270,4,3,0,0,1,0,0,1
242,4,4,0,0,1,0,0,0
125,2,3,0,0,1,0,0,0
125,2,3,0,0,1,0,0,0
114,2,5,0,0,1,0,0,1
260,3,5,0,0,1,0,0,1
100,3,4,0,0,1,0,0,1
132,2,3,0,0,1,0,0,0
215,2,6,0,0,1,0,0,1
220,2,3,0,0,1,0,0,1
235,3,4,0,0,0,1,0,1
117,1,3,0,0,1,0,0,0
218,4,3,0,0,1,0,0,1
206,4,3,0,0,1,0,0,1
226,3,3,0,0,1,0,0,1
72,1,3,0,0,1,0,0,1
185,2,3,0,0,1,0,0,1
66,1,1,0,0,1,0,0,1
150,3,3,0,0,1,0,0,1
100,2,3,0,0,1,0,0,0
176,1,2,0,0,1,0,0,1
74,1,1,0,0,1,0,0,1
167,2,8,0,0,1,0,0,1
190,3,4,0,0,1,0,0,1
119,4,3,0,0,0,1,0,0
133,2,3,0,0,1,0,0,1
285,3,5,0,0,1,0,0,1
144,1,3,0,0,1,0,0,1
45,2,3,0,0,1,0,0,1
280,3,3,0,0,1,0,0,1
46,1,2,0,0,1,0,0,1
280,3,4,0,0,1,0,0,1
157,3,3,0,0,1,0,0,1
232,3,4,0,0,1,0,0,1
121,1,2,0,0,1,0,0,0
180,2,4,0,0,1,0,0,1
250,5,3,0,0,1,0,0,0
68,2,2,0,0,1,0,0,1
236,6,6,0,0,1,0,0,0
102,1,2,0,0,1,0,0,1
166,9,3,0,0,0,1,0,1
132,3,3,0,0,1,0,0,1
150,3,7,0,0,1,0,0,1
135,4,7,0,0,0,1,0,1
35,2,2,0,0,1,0,0,1
220,4,3,0,0,1,0,0,1
200,4,6,0,0,0,1,0,0
250,3,5,0,0,1,0,0,1
66,1,2,0,0,0,1,0,0
237,4,4,0,0,0,1,0,0
165,1,2,0,0,1,0,0,1
70,2,2,0,0,0,1,0,0
109,2,2,0,0,0,1,0,0
62,2,1,0,0,0,1,0,0
61,2,1,0,0,0,1,0,0
200,3,6,0,0,1,0,0,1
170,3,3,0,0,1,0,0,1
199,2,5,0,0,1,0,0,1
221,1,3,0,0,1,0,0,1
236,9,2,0,0,0,1,0,1
211,4,3,0,0,1,0,0,0
240,4,3,0,0,1,0,0,0
207,4,3,0,0,1,0,0,0
227,3,4,0,0,1,0,0,1
183,8,5,0,0,1,0,0,1
223,2,2,0,0,1,0,0,1
142,2,3,0,0,1,0,0,1
254,5,4,0,0,0,1,0,0
229,5,4,0,0,0,1,0,0
132,2,6,0,0,1,0,0,1
184,1,3,0,0,1,0,0,1
111,1,2,0,0,1,0,0,1
277,3,5,0,0,1,0,0,1
43,1,2,0,0,1,0,0,1
230,4,4,0,0,1,0,0,0
218,5,4,0,0,0,1,0,0
72,1,2,0,0,1,0,0,1
231,1,5,0,0,1,0,0,1
176,2,4,0,0,1,0,0,0
148,2,4,0,0,1,0,0,1
120,1,2,0,0,1,0,0,1
126,2,1,0,0,1,0,0,1
185,1,2,0,0,1,0,0,1
124,2,3,0,0,1,0,0,1
126,1,3,0,0,1,0,0,1
163,2,5,0,0,1,0,0,1
168,2,3,0,0,1,0,0,0
65,1,3,0,0,1,0,0,1
250,4,4,0,0,1,0,0,1
230,2,4,0,0,1,0,0,1
146,2,4,0,0,0,1,0,0
50,1,1,0,0,1,0,0,1
118,1,2,0,0,1,0,0,1
91,2,3,0,0,1,0,0,1
76,1,2,0,0,1,0,0,1
85,1,2,0,0,0,1,0,0
93,1,2,0,0,0,1,0,0
73,1,2,0,0,0,1,0,0
58,1,1,0,0,0,1,0,0
77,1,1,0,0,0,1,0,0
62,1,1,0,0,0,1,0,0
82,1,1,0,0,0,1,0,0
81,1,1,0,0,0,1,0,0
110,4,6,0,0,1,0,0,0
146,3,4,0,0,1,0,0,1
245,3,4,0,0,1,0,0,0
193,2,4,0,0,1,0,0,1
185,3,4,0,0,1,0,0,0
268,1,3,0,0,1,0,0,1
63,1,2,0,0,1,0,0,1
199,2,4,0,0,1,0,0,1
265,4,3,0,0,1,0,0,1
105,2,2,0,0,1,0,0,0
132,2,3,0,0,1,0,0,1
97,2,2,0,0,1,0,0,1
89,1,1,0,0,0,1,0,0
53,1,1,0,0,0,1,0,0
51,1,1,0,0,0,1,0,0
53,1,1,0,0,0,1,0,0
51,1,1,0,0,0,1,0,0
53,1,1,0,0,0,1,0,0
51,1,1,0,0,0,1,0,0
53,1,1,0,0,0,1,0,0
53,1,1,0,0,0,1,0,0
69,2,2,0,0,0,1,0,0
69,2,2,0,0,0,1,0,0
68,2,2,0,0,0,1,0,0
69,2,2,0,0,0,1,0,0
68,2,2,0,0,0,1,0,0
69,2,2,0,0,0,1,0,0
